,index,종류별,상황별,재료별,방법별,제목,url,조회수,셰프,인분,조리시간,난이도,재료,인트로,조리순서,해시태그
401,402,밥/죽/떡,일상,해물류,끓이기,매콤한 통오징어 국물 떡볶이,https://www.10000recipe.com/recipe/6978543,650,썬쿡♡,2,60분 이내,아무나,"['오징어 1마리', '떡볶이떡 200g', '어묵 2줌', '양배추 1줌', '대파 1줌', '멸치다시육수 550~600ml', '고추장 1수저', '고춧가루 2수저', '진간장 1수저', '참치액 1수저', '설탕 1수저', '올리고당 0.5수저', '다진 마늘 1수저', '맛술 1수저', '후추 약간']",매콤한 국물 떡볶이에 통오징어를 넣어 비주얼도 맛도 좋은 오징어떡볶이 입니다^^ 술안주로도 좋아요~,"['1. 냉장상태의 떡볶이 떡을 물에 헹궈서 씻어준 뒤 잠시 담가둡니다.떡이 단단하니 조금 말랑말랑해질 정도로 물에 담가주세요.', '2. 어묵은 끓는 물에 살짝 데쳐주거나 뜨거운 물로 헹궈서 기름기를 제거하고 찬물에 한번 헹궈주세요.어묵을 먹기 좋은 크기로 썰어줍니다.어묵은 뜨거운 물에 데쳐서 찬물에 한번 헹궈주면 어묵살이 단단해져요.', '3. 손질 오징어는 해동한 후 물로 깨끗이 씻어주세요. 오징어 몸통의 가운데 부분 3~4센티를 제외하고 양쪽을 칼이나 가위로 적당한 간격으로 잘라서 칼집을 내주세요.오징어 몸통의 양쪽에 칼집을 내주는 이유는 오징어가 익으면서 돌돌 말리기 때문에 오징어의 모양을 유지하려고 칼집을 내주었어요.', '4. 양배추는 적당한 크기로 썰어 주고 대파도 송송 썰어줍니다.', '5. 끓는 물에 다시팩을 넣고 10분 정도 끓여서 육수를 만들어 주세요. 10분 후 다시팩은 건져줍니다.', '6. 육수에 고춧가루 2수저, 고추장 듬뿍 1수저를 넣고 잘 풀어주세요.매운 맛을 좋아하시면 일반 고춧가루 1.5수저, 매운 고춧라구 0.5수저를 섞어서 넣어주셔도 좋아요.', '7. 진간장 1수저, 참치액 1수저도 넣어주세요.참치액이 없으면 대신 다시다를 조금 넣어 주면 돼요>.<ㅋ\u200b', '8. 여기에 설탕 1수저와 올리고당 0.5수저를 넣고 잘 섞어서 끓여줍니다.집집마다 사용하는 고추장이나 간장의 염도가 다 달라서 간을 본 다음 입맛에 맞게 간을 맞춰주세요.', '9. 양념을 넣고 국물이 끓어오르면 양배추를 넣어줍니다.', '10. 물에 담가두었던 떡볶이 떡을 체로 건져서 어묵과 함께 넣어주세요.저는 밀떡을 사용했는데 밀떡의 경우 간이 빨리 배서 어묵과 같이 넣었어요.만약 쌀떡을 넣는 경우에는 떡을 먼저 넣고 떡에 간이 배도록 끓여주다가 어묵을 넣고 끓여주세요^^', '11. 떡이 말랑말랑해지고 간이 배도록 한소끔 끓여주세요.', '12. 여기에 칼집을 낸 통오징어를 올리고 맛술 1수저, 후추 톡톡 뿌려주세요.', '13. 마지막으로 대파를 한 줌 넣고 떡볶이 국물을 오징어에 끼얹어주면서 오징어가 익을 정도로 끓여주세요.오징어는 오래 끓이면 질겨지기 때문에 익을 정도로만 끓여주면 돼요.', '14. 완성입니다.드실 때는 오징어 몸통에 칼집대로 가위로 잘라서 드시면 돼요.']","['오징어떡볶이', '통오징어요리', '통오징어떡볶이', '오징어국물떡볶이', '해물떡볶이', '통오징어국물떡볶이']"
402,403,밥/죽/떡,일상,해물류,끓이기,정신줄 놓게 만드는 미친맛! 전복굴밥,https://www.10000recipe.com/recipe/6973978,"1,285",요리톡톡 맛톡톡,2,30분 이내,중급,"['멥쌀 1컵', '찹쌀 1/2컵', '물 500ml', '전복 2마리', '굴 1컵', '무 조금', '참기름 조금', '참치액 ', '간장 ', '청양고추 ', '통깨 ', '참기름 ', '파 ']","저는 굴은 이상하게 복걸복으로 어느땐
맛있게 먹고 어느땐 못먹고 그래요
왜 그러는걸까요?

그래도 무난히 먹는건 생으로 보단 조리를
해서 먹을때 그나마 조금 수월하게 먹죠
그래서 이렇게 제철인 겨울이 오면 어떻해든
굴을 먹을려고 노력해요

굴요리중 젤 좋아하는게 굴밥이라 굴이랑
전복을 사온게 있어 같이 넣고 솥밥으로
오랜만에 정성들여 밥을 지었어요
것도 전복내장을 달달볶아 지은밥이라
완전 게임 오바인 밥을 미친맛으로
만들었죠 제가 ㅋㅋㅋ

이렇게 만들고 한술 뜨는데 기절하는줄
다 아는맛인데도 상상 이상인맛~~
정신줄 놓고 딸과 둘이서 금방 바닥을
보였어요
정말 너무너무 맛있네요

지금이 제일 맛있는 제철재료로 영양좋은
솥밥 맛있게 지어드세요^^","['1. 깨끗히 씻은 전복은 껍질을 분리해서 살에 칼집을 내고 내장은 잘게 다집니다', '2. 불린쌀을 솥에 담고 내장과 볶습니다', '3. 물을 붓고 끌입니다', '4. 뚜껑을 덮고 열고를 반복하면서 센불에서 수분이 없을때까지 저어가면서 끓입니다', '5. 무 굴 전복을 올리고 뜸 들입니다', '6. 식탁에 냅니다']","['전복굴밥', '굴밥', '굴무밥', '밥도둑', '밥요리', '제철요리', '제철음식', '집밥', '한끼식사', '솥밥']"
403,404,밥/죽/떡,일상,해물류,끓이기,[무드앤쿡#.51] 누구나 쉽게 만드는 원기회복 보양식 <바지락 영양죽>,https://www.10000recipe.com/recipe/6964359,"1,058",무드앤쿡,1,30분 이내,아무나,"['밥 1공기', '당근 20g', '애호박 20g', '표고버섯 1~2개', '바지락 1봉', '굴소스 1/2큰술', '소금 적당량']",가끔은 아무 생각 없이 완성할 수 있을 정도로 쉬운 요리가 필요하죠?! 마트에서 파는 조개삿 한 팩만 준비해주세요. 냉장고에 있는 자투리 채소 정리에도 좋은 <바지락 영양죽>을 소개합니다. * 이 레시피는 2020년 4월 국민건강보험공단 전문가 필진으로 제공한 레시피 입니다 *,"['1. 기름을 두른 팬에서 0.5mm의 크기로 다진 당근과 애호박을 볶는다. 불린 건 표고버섯을 다져서 함께 볶다가 굴소스를 넣어 같이 섞는다.생쌀을 사용하여 죽을 만들면 이 과정에서 참기름과 함께 쌀을 볶은 후 2의 과정으로 넘어가면 된다.', '2. 해감한 바지락을 물에 넣고 삶아 바지락은 건져내고 육수만 보관한다. 1의 냄비에 밥과 함께 바지락 육수를 넣는다.건표고버섯 불린 물을 바지락 육수와 동량으로 넣으면 감칠맛과 영양이 더 깊어진다,', '3. 육수를 계속 보충하며 냄비 바닥에 눌러 붙지 않게 주걱으로 저어준다.', '4. 쌀이 어느 정도 퍼지면 바지락 살을 넣고 소금 또는 간장으로 간을 맞춰 완성한다.']","['바지락', '바지락영양죽', '영양죽', '보양식죽', '보양식', '죽', '바지락요리', '조갯살', '초간단']"
404,405,밥/죽/떡,일상,해물류,끓이기,"편스토랑, 류수영의 전복 내장죽",https://www.10000recipe.com/recipe/6963028,"3,296",저녁노을,2,30분 이내,아무나,"['전복 내장 6숟가락', '불린 쌀 1.5컵', '물 1.5L', '까나리액젓 1숟가락', '참기름 ', '통깨 ', '계란 3개']","요리도 잘하고 연기도 잘하는 요섹남 류수영의 전복요리 3탄 특별한 맛, 전복 내장죽입니다.","['1. 참기름, 전복내장을 넣고 볶다가 불린쌀을 넣고 볶아준다.', '2. 물 500ml를 넣고 끓여준다.', '3. 나머지 물을 두 번에 나눠가며 끓여준다.', '4. 계란 3개를 넣고 약불에서 냄비 뚜껑을 닫고 흰자만 익혀준다.', '5. 그릇에 담아준 후 전복, 통깨를 뿌려 완성한다.']",
405,406,밥/죽/떡,일상,해물류,끓이기,"환절기, 입맛 떨어질 때 홍게살죽",https://www.10000recipe.com/recipe/6958545,"1,787",저녁노을,2,15분 이내,아무나,"['밥 1/2공기', '홍게살                                                                                또는 맛살 ', '계란 1개', '대파 1/2대', '멸치 액젓 1숟가락', '육수 4컵', '후추 약간', '깨소금 약간', '참기름 약간', '김가루 약간']","코로나, 미세먼지로 밖에 나가기 힘들고 여름으로 바뀌는 환절기 입맛 떨어질 때 홍게살죽 어때요?","['1. 각종 재료와 함께 대파는 먹기 좋은 크기로 썰어준다.', '2. 참기름, 대파를 넣고 볶아준 후 홍게살 으깬 것, 밥도 넣어준다', '3. 육수를 붓고 끓으면 풀어둔 계란, 통홍게살을 넣어준다', '4. 액젓으로 간하고 후추를 넣고 마무리한다', '5. 깨소금, 김가루를 뿌려준다.']",
406,407,밥/죽/떡,일상,해물류,끓이기,손쉽게 야채죽만들기,https://www.10000recipe.com/recipe/6970201,"2,018",Joung-yun Kim,1,30분 이내,아무나,"['꼬마 전복 4개', '양파 15g', '당근 30g', '밥 1/2공기', '참기름 2T', '깨소금 1/2t', '쪽파 약간']","집에 갑자기 속이불편한 사람이 있다면 손쉽게 만들어 줄 수 있는 야채죽입니다.
식사를 빼고 하자니 그렇고 굶게 하자니 또 마음이 쓰이니 간단하고 맛나게~!^^","['1. 참기름을 넣고 당근. 양파. 꼬마전복 잘게 다진것을 넣어 볶아줍니다. (2분정도)', '2. 당근이나 양파가 익은것 같으면 밥 반공기를 넣고 잠시 같이 볶아줍니다. (추가 2분정도)', '3. 밥 양의 2배정도의 생수를 붓고 끓여줍니다.', '4. 끓으면 주걱으로 저어주면서 달라붙지않게 하고 밥알을 살살 부셔줍니다. 소금을 한두꼬집으로 약하게 간을 합니다.', '5. 그릇에 담아 깨소금을 뿌리고 쪽파를 살짝 얹어주면 끝~!!^^']","['죽', '야채죽', '영양죽', '초간단', '간단식', '전복', '전복죽']"
407,408,밥/죽/떡,일상,해물류,끓이기, 따게비 밥 보말 밥 만들기 ,https://www.10000recipe.com/recipe/7030255,225,함박꽃,2,60분 이내,아무나,"['1kg ', '소주 1술', '진간장 2술', '양파 1/2개', '참기름 2술', '후추 톡', '통깨 적당', '대파 조금']",동해안 시골 장터 시장에 갔다가 따개비 보말이 보이길래 얼른 가져왔어요 을릉도에서 먹던 따개비밥이 생각나 따개비밥 만들어 봤읍니다 따게비 보이면 얼른 가져오세요,"['1. 따게비 보말이라고도 하는 바위에 붙어있는 작은 조개류죠 박박 문질러가며 씻어주고 뜨거운 물에 데쳐 주면. 속살이 쏙쏙 빠져요볼 , 채반 , 냄비', '2. 잠길만큼의 물이 끓으면 소주 1술넣어 데쳐줍니다 국물은 버리지않고 밥물로 이용할꺼예요 알이 쏙쏙빠져 껍데기와 분리만 해주면 됩니다', '3. 골라놓은 보말은 도마위에놓고 대충 다져줍니다 그냥해도 알이 크지않아 상관은 없지만요도마 , 조리용나이프', '4. 일반 밥하듯이 씻은 쌀에 보말삶은 물로 밥물을 부어주고 분리한 보말살도 얹어주면 되고요', '5. 일반밥 취사로 해줍니다전기밥솥', '6. 양념장 만들기소스볼', '7. 양파다지고 진간장 참기름 통깨 후추 톡 고추가루 대파 다짐넣어 양념장을 만들고양파 손질법', '8. 따듯한 따게비 밥 한그릇에 양념장 1수저 올려 비벼주면 맛있는 따게비밥 완성입니다밥주걱 , 면기']","['따게비', '밥', '만들기', '보말']"
408,409,밥/죽/떡,일상,해물류,끓이기,게살죽 만드는법 홍게살 넣어 맛있게,https://www.10000recipe.com/recipe/7038786,832,아띠유니,4,30분 이내,아무나,"['홍게살 ', '애호박 ', '양파 ', '당근 ', '국간장 ', '소금 ']",홍게살로 영양가득 맛있는 게살죽 만들어보아요.,"['1. 게살은 껍질이 섞이지 않도록 잘 발라줍니다. 내장까지 넣으면 맛의 깊이가 달라요!접시', '2. 야채는 애호박, 당근, 양파 세가지를 사용했어요. 후루룩 먹기 좋게 작게 썰어서 준비합니다.도마 , 조리용나이프', '3. 냄비에 참기름1스푼 두르고 야채 모두 넣어서 볶아주세요. 탈 수 있으니 중약불에 볶아주는게 좋아요.냄비 , 요리스푼', '4. 볶다보면 당근이 익어서 색이 변할때가 있을거에요.', '5. 그때 물을 넣어줍니다. 물은 넉넉하게 넣어주는게 좋아요.', '6. 물이 끓어오르면 밥을 넣어줍니다. 찹쌀로 할 경우 장시간 물에 불려서 사용하고, 밥은 그냥 넣어주면 되요.', '7. 다시 물이 끓으면 게살 모두 넣어줍니다.', '8. 눌러붙지않게 중약불에서 뚜껑닫고 뭉근하게 끓여주세요. 중간중간 잘 저어주는것도 잊지마세요!', '9. 간은 소금과 국간장으로 해요. 간장 반스푼 정도 넣어주고', '10. 국간장으로 나머지 간을 맞춰주세요.', '11. 푹 끓이면 게살죽 완성! 먹을때는 그릇에 담아 참기름 둘러주고 부족한 간은 국간장 넣어 먹으면 좋아요. 이렇게 먹으면 정말 파는것처럼 고소하고 맛있답니다!국자 , 완성그릇']","['게살죽', '게살죽레시피', '게살죽만들기', '게살죽만드는법', '홍게살죽', '홍게살죽만들기', '게살', '게살요리', '홍게살', '홍게살요리']"
409,410,밥/죽/떡,일상,해물류,끓이기,[전복죽] 전복과 쌀만 넣고 담백하게 끓인 죽,https://www.10000recipe.com/recipe/7045352,138,싱글의한끼,2,60분 이내,초급,"['전복 1마리', '쌀 100g', '참기름 ', '국간장                                                                                or 참치액 ']","전에 내장까지 넣고 전복죽을 끓여봤는데, 내장 때문에 살짝 비릿함이 남아 있어 흰 전복죽이 더 맞을 것 같더라구요. 양파나 버섯 같은 재료들을 넣어서 끓이기도 하지만 저는 오직 전복과 쌀로만 담백하게 끓여봤는데 역시 '깔끔한 이 맛이지!' 싶더라구요~","['1. 활전복은 손질해 먹기 적당한 크기로 썰어줍니다. 1개를 준비했는데 제법 커서 손질하고 나니 35g이더라구요. 취향껏 전복을 더 넣으셔도 됩니다.\n전복 손질법 ->  @7032939 도마 , 조리용나이프', '2. 쌀 1컵은 1시간 정도 물에 불린 다음 체에 밭쳐 물기를 뺍니다.볼 , 채반', '3. 냄비에 참기름을 두르고 전복을 볶아줍니다.냄비 , 요리스푼', '4. 전복이 노릇하게 익으면 쌀을 넣고 5분 정도 볶아줍니다. 타지 않게 바닥을 잘 저어주세요.', '5. 물을 붓고 가끔 저어주며 중강불에서 끓입니다.', '6. 보글보글 끓어오르면 한참 끓이다 중약불로 낮추고 너무 졸아 물이 부족하면 보충해도 됩니다.', '7. 간은 국간장이나 참치액 등으로 하면 됩니다. 간을 해서 마무리합니다. 김가루 솔솔 뿌려 드시면 넘넘 맛있어요 :)계량스푼']","['전복죽', '전복요리', '흰전복죽', '하얀전복죽', '내장없는전복죽', '전복죽끓이기']"
410,411,밥/죽/떡,일상,해물류,끓이기,투움바 리조또 만들기 간단한 리조또 레시피,https://www.10000recipe.com/recipe/7037598,"1,872",arimarim2,1,30분 이내,아무나,"['냉동 새우 10마리', '고춧가루 1T', '미림 1T', '소금 ', '후추 ', '양파 1/2개', '베이컨 ', '쪽파 ', '버터 1T', '다진마늘 1T', '생크림 200ml', '후추 ', '파마산치즈 ']",투움바 리조또 레시피 입니다.,"['1. 냉동새우 약 10마리를 볼에 담고 고춧가루 1큰술, 미림 1큰술, 소금, 후추 약간 넣고 버무려 주세요. 10분간 숙성시켜 줍니다.볼 , 스푼새우 손질법', '2. 양파 반개와 베이컨을 기호 껏 준비해 주시고 쪽파도 적당히 준비해 주세요. *양송이 버섯을 추가하셔도 좋습니다.도마 , 조리용나이프양파 손질법', '3. 달군 팬에 버터 1큰술을 녹여 주세요.프라이팬 , 조리용스푼*버터는 약불에서 녹여 줍니다.', '4. 다진 마늘 1큰술을 약불에서 익혀 주세요.', '5. 준비한 야채와 숙성시킨 새우를 넣고 볶아 주세요.(중불)', '6. 새우가 어느정도 익었으면 생크림 200ml 부어 주세요.', '7. 후추와 파마산 치즈도 기호 껏 넣어 줍니다.', '8. 밥을 넣어 잠시 끓이다가 소금으로 간을 맞춰 주세요. (밥을 너무 많이 넣으면 밥이 불면서 소스가 다 사라질 수 있기 때문에 적당히 넣어 주세요.)', '9. 청양고추를 추가해 더 매콤하게 즐기셔도 좋아요.파스타볼']","['투움바리조또만들기', '이색리조또레시피', '찬밥리조또만들기', '새우리조또']"
411,412,밥/죽/떡,일상,해물류,끓이기,매콤.낙지 떡볶이/ 원기충전.영양 떡볶이/낙지 요리/ 별미 떡볶이/ 고급 떡볶이~,https://www.10000recipe.com/recipe/7037762,102,바른생활미미씨,2,60분 이내,초급,"['현미떡국떡 200g', '낙지 4마리', '양배추 250g', '양파 120g', '대파 1뿌리', '홍고추 1개', '깻잎 4~5장', '동전 육수 1알', '물 250ml', '참기름 1t', '후춧가루 약간', '고춧가루 2T', '고추장 2T', '양조간장 1T', '알룰로스 1t', '물 2T']","갯벌의 산삼, 쓰러진 소도 벌떡~ 일으킨다는~낙지 요리를 소개합니다. 필수 아미노산과 타우린, 미네랄이 풍부한 낙지를 듬뿍~ 넣고 만든 원기 충전을 위한 ~별미 떡볶이입니다. ​쫀득쫀득한 현미 떡과 부드럽고 쫄깃한 식감의 낙지에 깻잎 향이 솔솔~ 어우러진 ""매콤. 낙지 떡볶이""로 입맛도 살리고 건강도 챙겨보시길 추천합니다.","['1. 양념장 만들기- 고추장 2T, 고춧가루 2T, 다진 마늘 1T, 양조간장 1T, 알룰로스 1t~넣기. ※ 양념장의 양이 좀 넉넉해서, 짜지 않게 드시려면 약간 남기는 게 좋아요.~!소스볼 , 숟가락', '2. 물 2T 추가해서 잘 섞기. 양념장 완성.', '3. 밑 국물 만들기- 물 250ml에 동전 육수 1개 넣고 먼저 끓여두기.냄비', '4. 낙지 준비- 실온에 해동시키기.믹싱볼', '5. 낙지 손질- 밀가루 넣고 조물조물 씻기.', '6. 물기를 대충 제거한 낙지에 미리 만들어둔 양념장 1T 정도만 넣기.', '7. 양념에 잘 버무린 후~ 잠시 두기.', '8. 야채 준비하기- 양파 1개, 대파 1개, 홍고추 1개, 양배추 250g 정도~ 모두 적당한 크기로 썰어두기. ※버섯, 당근을 넣어도 좋아요!도마 , 조리용나이프', '9. 끓여둔 동전 육수에 떡 200 g 넣기. ※현미 떡국 떡을 적당한 크기로 썰어서 사용했어요. 일반 떡볶이용 쌀떡도 좋아요~!', '10. 떡과 함께 남은 양념도 같이 넣기.', '11. 끓이기- 강불. 3분 정도~조리주걱', '12. 양파, 양배추 넣기. 1분 끓이기.', '13. 대파 넣기. 잘 섞어 주기.', '14. 뚜껑 덮고 익히기. 4분. 중불.', '15. 뚜껑 열고 골고루 섞기. 홍고추 넣기.', '16. (양념에 버무려 둔) 낙지 넣기.', '17. 빠르게 섞으면서 잘 볶기. 강불. 1분 ※낙지는 살짝 익혀야 연하고 맛있어요~!', '18. 불 끄고 팬은 옆으로 옮겨두기. 참기름 1t, 후춧가루 살짝 뿌려서 마무리하기. ※ 낙지는 잔열로도 조금씩 익게 되니, 질겨지지 않도록 불 옆으로 옯기기. ※참기름 향은 낙지 특유의 비릿함을 좀 잡아주는 역할도 해주니 약간 넣어요. 많이 넣으면 느끼해요~!', '19. 접시에 1인분 정도 담고, 가늘게 채 썬 생깻잎과 찐 달걀 1개 토핑으로 올리기. 매콤 낙지 떡볶이. 드디어 완성~! ※매콤 떡볶이는 고소한 삶은 계란과 완전~찰떡궁합 !플레이팅접시']","['매콤낙지떡볶이', '별미떡볶이', '영양떡볶이', '낙지요리', '고급떡볶이', '현미떡']"
412,413,밥/죽/떡,일상,해물류,끓이기,쌈장해물두부덮밥 ,https://www.10000recipe.com/recipe/1817109,"6,675",카푸치노,2,30분 이내,중급,"['밥 2공기', '우렁이살 50g', '오징어 30g', '칵테일새우 30g', '두부                                                                                1/3모 ', '다진대파 1큰술', '마늘 4쪽', '전분 적당량', '기름 적당량', '쌈장 2큰술', '맛술 2큰술', '다진파 1큰술', '참기름 1큰술', '올리고당 1큰술', '고추가루 1큰술', '깨소금 1작은술']",입맛없을때 별미 한끼식사로 좋은 쌈장해물두부덮밥입니다.,"['1. 마늘은 편으로 썰어주시고 대파도 다져주시고', '2. 우렁이살은 굵게 다지고,칵테일새우와오징어도 다져주세요.', '3. 두부는 1cm크기로 썰어주신후에 비닐봉투에 전분을 넣고 묻혀주세요.', '4. 팬에 두부를 넣고 노릇하게 튀기듯 구워주시고', '5. 양념재료를 모두 넣고 섞어주세요.', '6. 팬에 포도씨유를 두르고 마늘을 노릇하게 구워주신후에 우렁이,새우,오징어를 넣고 양념장을 넣어 주세요.', '7. 양념재료를 넣고 볶아주신후에 밥을 그릇에 담고 쌈장해물양념을 올리고 구운두부를 올려주세요.']",
413,414,밥/죽/떡,일상,해물류,끓이기,얼큰하고 칼칼하게 만든 짬뽕밥 ,https://www.10000recipe.com/recipe/2842122,"31,168",안경1,,,,[],,[],
414,415,밥/죽/떡,일상,해물류,끓이기,해물 풍미가 끝내주는 카레 덮밥,https://www.10000recipe.com/recipe/1789455,"8,019",하늘향,3,30분 이내,초급,"['모듬해물 1/2팩', '감자(소) 2개', '당근(소) 1개', '양파(중) 1/2개', '시판카레가루 ']",해산물의 풍부한 맛이 그대로 해산물카레입니다.,"['1. 감자, 당근, 양파는 적당한 크기로 잘라서 준비합니다.', '2. 냄비에 포도씨유를 두르고, 준비한 재료를 넣고 볶습니다. (카레를 만들때 올리브유는 피하는게 좋다고 합니다.)', '3. 적당량의 물을 붓고, 끓이다가 재료가 익으면 불을 줄여 카레가루를 풀어 완성 시킵니다.']",
415,416,밥/죽/떡,일상,해물류,끓이기,"굴밥에 굴넣지 않고 밥을 합니다, - 굴밥, 굴탕",https://www.10000recipe.com/recipe/1790190,"12,132",최윤미,1,60분 이내,중급,"['쌀 2컵', '굴 1컵', '물 2컵', '굴 1컵', '양파 1/4개', '대파 1대', '청양고추 2개', '느타리나 맛타리 버섯 1줌', '간장 ', '다진파 ', '다진양파 ', '참기름 ', '깨소금 약간', '멸치육수 2컵', '굴소스 1큰술', '소금 약간', '후추 약간']","굴잔치 했습니다, 굴밥에, 굴국, 굴전까지.... 워낙 굴을 좋아하기도 하지만 겨울철아니면 많이 먹지를 못하는 해산물일 겨울만 되면 아니 굴만 보면 구입해서 먹는답니다.","['1. 굴은 대충 씻어 줍니다. 다른건 다 깨끗하게 씻어도굴만은 너무 깨끗하게 씻으면 맛있는 맛이 다 달아나거든요. 씻어놓은 굴을 물을 딱 2컵만 넣고 살짝 데쳐 주세요. 쌀2컵은 씻어 20분 정도지난후 냄비에 넣고 굴데치고 나온 물을넣어 밥을 짓습니다. 굴데칠때 왜 물이 꼭 2컵이어야 하는지 아셨죠. 굴데쳐낸 물로 밥물을 잡아 밥을 짓는겁니다. 뜸들기 시작할때 데쳐낸 굴을 넣어 뜸을 들이지요.', '2. 굴밥이 완성되었습니다.', '3. 고추와 대파는 어슷 썰어 놓고 굴을 대충 씻어 물기를 거두어 줍니다.', '4. 육수를 넣고 대파, 양파, 버섯을 넣고 끓여 줍니다. 이때 굴소스도 미리 넣어 주세요.', '5. 끓기 시작하면 굴과 고추를 넣고 다시 한번 끓여 줍니다.', '6. 굴이야 회로도 먹는 것이니 끓기 시작만 하면 불에서 내려거품을 걷어 주고 후추로 마무리 합니다.', '7. 굴국완성입니다.']",
416,417,밥/죽/떡,일상,해물류,끓이기,★내 몸에 상주기..원기회복 미역품은 전복죽★,https://www.10000recipe.com/recipe/1113612,"4,500",coolcat,,,,[],,[],
417,418,밥/죽/떡,일상,해물류,끓이기,홍합밥 만들기,https://www.10000recipe.com/recipe/5509520,"27,351",과일짱,1,30분 이내,초급,"['불린쌀 1인분', '홍합살 ', '홍합육수                                                                                생수가능 ', '고추가루 ', '참기름 ', '통깨 ', '간장 ', '쪽파 ']",홍합육수로 별미밥..홍합밥을 만들었어여~ 별다른반찬없이 갓지은 홍합밥을 양념장에 쓱쓱비벼먹는맛~ 먹어보신분들은 아마 짐작하실걸요~,"['1. 홍합살과 홍합육수..', '2. 냄비에 불린쌀담고.. 홍합육수를 부어주어요~ 육수양은 불린쌀의 두배정도.. 손으로 측정할땐 물이 손등위로 오면 됩니다..', '3. 보글보글 끓기시작하면 불을 중불로 줄여요~ 끓으면서 넘칠수있으니 뚜껑은 열고 끓이는게 좋아여~ 이렇게 물이 졸아들기 시작하면.. 홍합살을 올리고..', '4. 냄비뚜껑을 닫고.. 불을 약하게하고 은근하게 뜸들여 주어여~', '5. 밥이 뜸들동안 고추가루,참기름,통깨를 넣어 양념장을 만들어두고요..', '6. 짜잔~ 바다향 가득담은 홍합밥 완성..!!']",
418,419,밥/죽/떡,일상,해물류,끓이기,#달달한 무를 이용한 해물무밥만들기 #솥밥으로 바로해서 먹는 밥맛은 꿀보다 맛있다~~ 해물무밥솥밥으로 먹자!!!,https://www.10000recipe.com/recipe/6865033,"1,560",강철새잎,3,60분 이내,중급,"['해물믹스 1컵', '무 1토막', '밥 3컵', '참기름 1작은술']","무밥만 하기에는 부족해서 해물을 넣어서 
해물무밥을 만들었습니다. 압력밥솥도 아니고 전기밥통도 아닌 솥밥으로 만들었어요. 
바로 해서 먹는 해물무밥의 맛 끝내 줍니다","['1. 무는 딱 요만큼만 사용했어요. 50%세일해서 샀는데 바로 써야할 것 같아서 무밥을 했어요.', '2. 일단 무는 채썰어서 찬물에 넣어서 신선도를 유지시켜 줍니다.', '3. 쌀은 일단 씻은 후에 물에 잠시 담궈 두면 좋습니다. 솥밥은 그냥 바로 씻어서 넣으면 쌀이 잘 익지 않은 경우가 있더라구요. 잠시 물에 담궈 두고 밥을 하면 고슬고슬하게 잘 되더라구요. 채썰어서 찬물에 넣어둔 무는 일단 물기를 빼준 후에 쌀 위에 넣어 줍니다.', '4. 그리고 냉동해물은 해동을 시킨 후에 물기를 빼주시고요. 만약 비린맛이 나지 않을까 생각하신다면 청주에 잠깐 담궈 두었다가 넣어 주셔도 좋습니다. 무 위에 해물 올려 주시고요. 물의 양은 기존의 밥을 했을때의 물양보다는 1/3가량 적게 넣어 주세요. 해물과 무에서 물이 나오기 때문에요.', '5. 그냥 햇쌀을 가지고 만들었는데 찹쌀을 넣은 것처럼 쫀득쫀득한 해물무밥이 완성되었습니다.']","['무밥', '해물무밥', '솥밥', '솥밥만들기', '해물무밥만들기']"
419,420,밥/죽/떡,일상,해물류,끓이기,느린바다 미역낙지 솥밥,https://www.10000recipe.com/recipe/6864561,"1,343",느린바다,1,60분 이내,초급,"['불린미역 40g', '낙지 100g', '깐 바지락                                                                                약 12개 ', '불린 쌀 240g', '물 180g', '파 4g', '마늘 2g', '국간장 10g', '참기름 6g', '통깨 4g', '까나리 액젓 6g', '매실청 4g']",미역의 향미와 낙지의 쫄깃한 식감이 살아 있는 간편한 영양솥밥,"['1. 불린 미역과 낙지는 2~3cm 길이로 썬다.', '2. 미역과 낙지는 양념을 해서 준비한다.', '3. 불린 쌀에 깐 바지락살과 물을 넣고 밥을 지어 준다.', '4. 밥을 한지 15~20분 정도 지났을 때 2번의 양념해준 미역과 낙지를 밥위에 올려준다.', '5. 4번 밥을 5분간 뜸을 들인다.', '6. 뜸을 들인 후 뚜껑을 열고 잘 섞어 그릇에 담아 낸다.']","['솥밥', '미역밥', '영양밥']"
420,421,밥/죽/떡,일상,해물류,끓이기,"전복죽, 전복전 만들기",https://www.10000recipe.com/recipe/6788466,"6,133",저녁노을,1,30분 이내,아무나,"['쌀 1컵', '전복 3마리', '당근 ', '전복 2마리', '밀가루 2숟가락', '식용유 ', '소금 약간']",치아가 좋지 않은 시어머님을 위한 도시락으로 전복죽과 전복전을 만들어봤어요~,"['1. 전복은 껍질을 벗겨 내장은 분리한다.', '2. 전복살과 당근, 쌀을 함께 넣어 믹스기로 갈아준다.', '3. 냄비에 갈아 둔 쌀을 먼저 넣고 끓여준다.', '4. 갈은 전복을 넣어준 후 다져 둔 내장도 넣어준다. 마지막에 소금을 넣어 간을 맞춘 뒤 완성한다.', '5. 갈은 전복, 당근, 밀가루를 넣어 반죽을 해 둔다. 프라이팬에 기름을 두르고 한 숟가락씩 올려 노릇노릇 구워낸다. (치아가 좋지 않은 어머님이라 오믈렛처럼 잘게 만듦)']",
